date,holiday,event,value
2018-01-01,1,0,882.0
2018-01-02,0,0,2607.0
2018-01-03,0,0,2467.0
2018-01-04,0,0,2681.0
2018-01-05,0,0,2430.0
2018-01-06,1,0,915.0
2018-01-07,1,0,841.0
2018-01-08,0,0,2769.0
2018-01-09,0,0,2707.0
2018-01-10,0,1,3169.0
2018-01-11,0,1,2949.0
2018-01-12,0,0,2477.0
2018-01-13,1,0,1030.0
2018-01-14,1,0,984.0
2018-01-15,0,0,2767.0
2018-01-16,0,0,2344.0
2018-01-17,0,0,2483.0
2018-01-18,0,0,2801.0
2018-01-19,0,0,2289.0
2018-01-20,1,0,1026.0
2018-01-21,1,0,938.0
2018-01-22,0,0,
2018-01-23,0,0,2549.0
2018-01-24,0,0,2375.0
2018-01-25,0,0,2565.0
2018-01-26,0,0,2297.0
2018-01-27,1,0,928.0
2018-01-28,1,0,885.0
2018-01-29,0,0,2588.0
2018-01-30,0,0,2652.0
2018-01-31,0,0,2877.0
2018-02-01,0,0,2507.0
2018-02-02,0,0,2298.0
2018-02-03,1,0,868.0
2018-02-04,1,0,859.0
2018-02-05,0,0,2620.0
2018-02-06,0,0,2683.0
2018-02-07,0,0,2562.0
2018-02-08,0,0,2749.0
2018-02-09,0,0,2644.0
2018-02-10,1,0,1155.0
2018-02-11,1,0,1003.0
2018-02-12,0,1,2950.0
2018-02-13,0,1,2987.0
2018-02-14,0,0,3005.0
2018-02-15,1,0,1104.0
2018-02-16,1,0,907.0
2018-02-17,1,0,908.0
2018-02-18,1,0,1116.0
2018-02-19,0,0,2762.0
2018-02-20,0,0,2807.0
2018-02-21,0,0,2358.0
2018-02-22,0,0,2545.0
2018-02-23,0,0,2269.0
2018-02-24,1,0,974.0
2018-02-25,1,0,1142.0
2018-02-26,0,0,2768.0
2018-02-27,0,0,2495.0
2018-02-28,0,0,2554.0
2018-03-01,1,0,1073.0
2018-03-02,0,0,2757.0
2018-03-03,1,0,938.0
2018-03-04,1,0,1100.0
2018-03-05,0,0,2531.0
2018-03-06,0,0,2741.0
2018-03-07,0,0,2603.0
2018-03-08,0,0,2531.0
2018-03-09,0,0,2363.0
2018-03-10,1,0,1035.0
2018-03-11,1,0,1106.0
2018-03-12,0,1,3409.0
2018-03-13,0,1,3209.0
2018-03-14,0,0,2574.0
2018-03-15,0,0,2781.0
2018-03-16,0,0,2682.0
2018-03-17,1,0,1086.0
2018-03-18,1,0,1127.0
2018-03-19,0,0,2626.0
2018-03-20,0,0,2634.0
2018-03-21,0,0,2817.0
2018-03-22,0,0,2725.0
2018-03-23,0,0,2597.0
2018-03-24,1,0,1074.0
2018-03-25,1,0,1101.0
2018-03-26,0,0,2506.0
2018-03-27,0,0,2775.0
2018-03-28,0,0,2682.0
2018-03-29,0,0,2714.0
2018-03-30,0,0,2517.0
2018-03-31,1,0,938.0
2018-04-01,1,0,1165.0
2018-04-02,0,0,2614.0
2018-04-03,0,0,2725.0
2018-04-04,0,0,2744.0
2018-04-05,0,0,2590.0
2018-04-06,0,0,2495.0
2018-04-07,1,0,921.0
2018-04-08,1,0,953.0
2018-04-09,0,0,2817.0
2018-04-10,0,1,3221.0
2018-04-11,0,1,3295.0
2018-04-12,0,0,2652.0
2018-04-13,0,0,2778.0
2018-04-14,1,0,973.0
2018-04-15,1,0,1200.0
2018-04-16,0,0,2819.0
2018-04-17,0,0,2596.0
2018-04-18,0,0,2284.0
2018-04-19,0,0,2373.0
2018-04-20,0,0,2550.0
2018-04-21,1,0,1230.0
2018-04-22,1,0,1144.0
2018-04-23,0,0,2745.0
2018-04-24,0,0,2725.0
2018-04-25,0,0,2391.0
2018-04-26,0,0,2502.0
2018-04-27,0,0,2536.0
2018-04-28,1,0,1131.0
2018-04-29,1,0,962.0
2018-04-30,0,0,2988.0
2018-05-01,1,0,1012.0
2018-05-02,0,0,3005.0
2018-05-03,0,0,2701.0
2018-05-04,0,0,2533.0
2018-05-05,1,0,1163.0
2018-05-06,1,0,1066.0
2018-05-07,1,0,1221.0
2018-05-08,0,0,2625.0
2018-05-09,0,0,2596.0
2018-05-10,0,1,3240.0
2018-05-11,0,1,3591.0
2018-05-12,1,0,1042.0
2018-05-13,1,0,1226.0
2018-05-14,0,0,2907.0
2018-05-15,0,0,2382.0
2018-05-16,0,0,2603.0
2018-05-17,0,0,2859.0
2018-05-18,0,0,2469.0
2018-05-19,1,0,1130.0
2018-05-20,1,0,1134.0
2018-05-21,0,0,2969.0
2018-05-22,1,0,1054.0
2018-05-23,0,0,2956.0
2018-05-24,0,0,2490.0
2018-05-25,0,0,2953.0
2018-05-26,1,0,1208.0
2018-05-27,1,0,1087.0
2018-05-28,0,0,3093.0
2018-05-29,0,0,2510.0
2018-05-30,0,0,2342.0
2018-05-31,0,0,2566.0
2018-06-01,0,0,2940.0
2018-06-02,1,0,992.0
2018-06-03,1,0,1081.0
2018-06-04,0,0,2527.0
2018-06-05,0,0,2583.0
2018-06-06,1,0,986.0
2018-06-07,0,0,2610.0
2018-06-08,0,0,2594.0
2018-06-09,1,0,1118.0
2018-06-10,1,0,1005.0
2018-06-11,0,1,3246.0
2018-06-12,0,1,3486.0
2018-06-13,1,0,1108.0
2018-06-14,0,0,2984.0
2018-06-15,0,0,2945.0
2018-06-16,1,0,1245.0
2018-06-17,1,0,1033.0
2018-06-18,0,0,2897.0
2018-06-19,0,0,2621.0
2018-06-20,0,0,2744.0
